,HomeTeam,AwayTeam,WinningTeam
0,0,18,0
1,1,22,1
2,2,26,2
3,3,13,13
4,4,27,4
5,5,28,28
6,6,17,6
7,7,16,7
8,8,29,8
9,9,25,9
10,10,19,10
11,11,21,11
12,12,20,20
13,13,24,24
14,14,23,23
15,15,1,1
16,16,0,16
17,2,28,28
18,5,25,5
19,17,26,26
20,18,8,8
21,19,29,29
22,20,11,20
23,21,12,12
24,22,10,22
25,23,6,6
26,13,7,7
27,24,4,24
28,25,16,16
29,26,0,0
30,27,3,27
31,14,18,14
32,9,29,9
33,10,21,10
34,11,1,11
35,19,15,19
36,17,5,17
37,8,12,12
38,28,6,28
39,22,2,22
40,13,3,13
41,25,26,25
42,24,7,7
43,0,4,0
44,14,19,14
45,23,27,23
46,18,15,15
47,9,12,9
48,11,10,10
49,21,20,20
50,1,2,1
51,6,24,6
52,20,8,8
53,22,17,22
54,27,26,27
55,4,25,4
56,7,28,7
57,16,23,16
58,5,3,3
59,0,13,0
60,19,12,12
61,29,14,14
62,21,2,2
63,10,1,10
64,15,11,11
65,24,6,6
66,18,20,18
67,1,9,1
68,5,14,5
69,3,27,3
70,4,23,23
71,16,25,16
72,26,13,26
73,8,22,22
74,21,10,21
75,15,9,9
76,19,18,19
77,13,5,13
78,4,20,20
79,17,11,11
80,23,0,23
81,29,28,28
82,15,2,2
83,12,7,7
84,3,26,3
85,6,14,6
86,25,21,21
87,9,22,22
88,27,8,8
89,1,10,1
90,29,13,29
91,5,18,5
92,17,14,14
93,28,23,23
94,11,7,11
95,15,12,15
96,2,3,2
97,27,16,16
98,24,9,24
99,26,22,22
100,19,4,19
101,20,6,20
102,13,25,13
103,3,29,3
104,24,26,26
105,14,15,14
106,0,21,0
107,17,28,17
108,8,4,8
109,10,7,10
110,1,23,23
111,2,16,16
112,9,19,9
113,11,6,6
114,1,12,1
115,3,13,3
116,4,17,4
117,29,27,27
118,24,21,21
119,28,15,28
120,18,0,0
121,8,25,25
122,20,7,20
123,10,23,10
124,12,5,5
125,22,6,22
126,9,16,16
127,2,18,18
128,26,14,14
129,17,8,8
130,19,15,19
131,28,20,20
132,4,3,3
133,7,2,7
134,19,23,23
135,25,27,27
136,11,5,11
137,12,24,12
138,22,0,0
139,13,28,28
140,16,8,16
141,9,17,17
142,18,14,14
143,15,10,10
144,1,0,1
145,3,19,3
146,7,27,7
147,6,13,6
148,26,25,26
149,20,24,24
150,11,22,22
151,10,5,10
152,21,12,21
153,2,17,17
154,4,7,4
155,16,29,16
156,14,1,14
157,28,9,28
158,22,15,22
159,12,0,0
160,27,6,6
161,23,26,23
162,18,1,18
163,25,8,25
164,11,24,11
165,20,5,20
166,2,13,2
167,4,9,4
168,14,3,14
169,17,10,17
170,28,29,29
171,19,7,19
172,15,16,16
173,22,21,22
174,26,5,5
175,3,23,23
176,25,2,2
177,6,18,6
178,28,14,14
179,8,0,8
180,9,12,12
181,1,24,1
182,27,7,7
183,21,16,21
184,17,20,20
185,4,29,4
186,18,15,18
187,22,24,22
188,25,27,25
189,5,3,3
190,0,2,0
191,26,23,23
192,14,12,14
193,8,9,8
194,11,16,16
195,10,28,28
196,1,19,1
197,17,15,15
198,18,12,18
199,21,11,21
200,22,19,22
201,7,25,7
202,29,9,29
203,24,23,23
204,5,2,5
205,8,15,8
206,6,27,6
207,0,4,0
208,26,13,26
209,28,10,10
210,20,14,20
211,1,16,1
212,23,12,23
213,11,18,18
214,13,24,13
215,29,2,29
216,5,21,5
217,26,6,6
218,19,22,22
219,7,9,7
220,8,27,8
221,20,16,20
222,10,15,10
223,1,14,1
224,28,11,11
225,2,26,26
226,3,4,3
227,24,0,0
228,25,9,9
229,7,6,7
230,27,12,27
231,17,22,22
232,23,13,23
233,10,18,10
234,14,8,8
235,25,5,5
236,29,21,21
237,20,11,20
238,1,18,1
239,27,5,5
240,13,4,13
241,3,17,3
242,24,28,28
243,16,21,16
244,6,2,6
245,0,7,0
246,26,12,12
247,23,10,23
248,9,22,22
249,15,19,19
250,8,1,1
251,20,29,20
252,16,5,16
253,2,13,2
254,27,4,4
255,3,10,3
256,7,21,7
257,0,25,0
258,14,6,14
259,17,1,1
260,23,24,23
261,9,28,28
262,11,29,29
263,18,22,22
264,12,19,12
265,15,26,15
266,5,16,5
267,13,2,2
268,4,0,0
269,27,23,23
270,25,7,7
271,3,24,3
272,17,10,10
273,6,15,6
274,19,18,19
275,9,1,9
276,11,8,8
277,12,26,12
278,22,29,22
279,21,20,21
280,7,3,7
281,14,24,14
282,23,2,23
283,5,6,6
284,28,17,17
285,25,16,16
286,22,8,8
287,13,9,13
288,18,19,19
289,4,15,4
290,0,10,0
291,1,29,1
292,2,11,11
293,7,10,7
294,24,15,24
295,17,3,3
296,23,25,23
297,21,26,26
298,27,13,13
299,29,4,4
300,18,8,8
301,0,6,6
302,9,14,9
303,20,22,22
304,1,12,1
305,2,15,2
306,13,23,23
307,4,11,4
308,24,5,5
309,16,6,16
310,26,17,26
311,19,3,3
312,8,28,8
313,10,22,22
314,12,21,12
315,29,7,29
316,25,20,20
317,0,14,14
318,18,11,11
319,2,5,5
320,27,4,4
321,13,3,13
322,16,20,16
